entry,year,genre,source,a,b,c,text,
368,1868,FIC,WorldMask,A,B,C,"  . Teresa Cespo Rushes into his arms Ha! my heart half knew it. Fern. Fernwood How I escaped the wreck, how landed here, And built a",
378,1868,FIC,WorldMask,A,B,C,  I know not why; but I would have it so. Footnote: 1Kb Fern. Fernwood What signs of his affection does he show? Ter. Teresa Cespo,
383,1868,FIC,WorldMask,A,B,C,"  you are wise and strong. Speak Galldove; you have a subtle mind. Fern. Fernwood Speak, Galldove, speak; I am sure that you can fathom",
384,1868,FIC,WorldMask,A,B,C,"  Cespo Oh, joy! he is safe; and I have saved him! Fern. Fernwood Do you live apart? Ter. Teresa Cespo Ah, yes;",
386,1868,FIC,WorldMask,A,B,C,"  Lady W. Lady Willburg Allow me to present you. Going slightly up to Fernwood Fern. Fernwo od Yes, at once -- at once. Ryl. Rylton Farewell",
408,1868,FIC,WorldMask,A,B,C,  What a nose for fools! But that's no wonder with your practice. Fern. Fernwood Why? Ryl. Rylton You have one under it from morn till,
433,1868,FIC,WorldMask,A,B,C,  you shall be reconciled. Now go! Aside What if Sir Hugh return? Fern. Fernwood Aside I see there is something to be done between now and tomorrow,
453,1868,FIC,WorldMask,A,B,C,"  . Rylton Just one word more with my good cousin. Tell Sir Hugh -- Fern. Fernwood Poh! I am much safer company than your "" good cousin.",
458,1868,FIC,WorldMask,A,B,C,"  , sir! Exit Mathew, weeping, L.2E. Where is Sir Hugh? Fern. Fernwood A side to Galldove Play out your game. I will not,",
464,1868,FIC,WorldMask,A,B,C,"  by anything less than your friendship. Fernwood turns away; Galldove regarding him amazedly Fern. Fernwo od Lady Willburg, who -- who is that lady near the table",
465,1868,FIC,WorldMask,A,B,C,"  sir, is my face a book; and would you read my answer? Fern. Fernwood The fairest book in your whole catalogue. Gal. Galldove Oh,",
486,1868,FIC,WorldMask,A,B,C,"  I am sick of you. Gal. Galldove You swore to Teresa. -- Fern. Fernwood Back to your villainy, I say. My word is sacred.",
523,1868,FIC,WorldMask,A,B,C,"  I say. My word is sacred. Gal. Galldove Nay, sir -- Fern. Fernwood By Heaven, I'll whip you to your game, if you",
531,1868,FIC,WorldMask,A,B,C,  leaden majesty. The Countess and my cousin! What a fool I am! Fern. Fernwood I always said so. Ryl. Rylton What a nose for fools,
552,1868,FIC,WorldMask,A,B,C,"  Rylton Is the man sane? No word for me? Why, Fernwood! Fern. Fernwood Well, well, madam! Ryl. Rylton Why, Fernwood,",
593,1868,FIC,WorldMask,A,B,C,"  Who? Gal. Galldove How have I offended the idol? Good Magog -- Fern. Fernwood Sir, this banter, though harmless from a friend, is insult",
602,1868,FIC,WorldMask,A,B,C,"  ? Where is Sir Hugh? Gal. Galldove Out, Rylton, out. Fern. Fernwood As ide to Galldove A most decided lie. Ryl. Rylton Galldove",
619,1868,FIC,WorldMask,A,B,C,"  Could I but get your shadow from my path. Exit with Teresa L.2E. Fern. Fernwood Rylton, my friend. Ryl. Rylton Have I a friend?",
624,1868,FIC,WorldMask,A,B,C,"  proven? Would it not puzzle you to tell me why you hate him? Fern. Fernwood As ide Love feeds on nothing, and is feasted. -- Teresa",
637,1868,FIC,WorldMask,A,B,C,"  will smile at you; but leave me her, or life is bankrupt! Fern. Fernwood Your fall from these robs you of Lucy. Her mother -- Ryl",
652,1868,FIC,WorldMask,A,B,C,"  only roll his sacred eyes, be happy, and adore. Footnote: 1kb Fern. Fernwood Pshaw! Rylton, Rylton, what a light thing you are!",
688,1868,FIC,WorldMask,A,B,C,"  to you, and a clearer brain. Exit, L.2.E., bowing to others Fern. Fernwood Takes stage a little L.H. Now, Lady Willburg. Crosses with Lady",
689,1868,FIC,WorldMask,A,B,C,"  . Fern. Fernwood Anything. Ter. Teresa Cespo Not to betray us. Fern. Fernwood Us! Galldove, you mean. Unless you wish it, never",
690,1868,FIC,WorldMask,A,B,C,  happiness of leaving you -- Fernwood looks surprised in the best company. Exit L.C. Fern. Fernwood Teresa Cespo -- Ter. Teresa Cespo You forget my title. Fern,
710,1868,FIC,WorldMask,A,B,C,"  S death, not I! I have no knack at getting up romances. Fern. Fernwood Indeed! You have a most fictitious look. Then I will tell",
726,1868,FIC,WorldMask,A,B,C,"  the very act of cheating. Enter Teresa, in disorder, followed by Fernwood Fern. Fernwo od Lady, respect yourself! Come back, come back! Ter",
732,1868,FIC,WorldMask,A,B,C,"  a higher, purer right. Ter. Teresa Cespo Who? -- Where? Fern. Fernwood Oh, blind, blind nature! Here, in me -- Marco",
767,1868,FIC,WorldMask,A,B,C,"  Exit L.2E. Gal. Galldove This is a sad matter, Mr. Fernwood. Fern. Fernwood How transparent a thing is rascality, when we look at it rightly",
768,1868,FIC,WorldMask,A,B,C,"  Teresa Cespo Sir, I dare say anything in defense of my slandered purity. Fern. Fernwood You do not mean -- Ter. Teresa Cespo That in all save",
793,1868,FIC,WorldMask,A,B,C,"  immortal part of me can hold me up against a sneering world for ever! Fern. Fernwood Well said! Why are you quiet, Galldove? Do you mark",
799,1868,FIC,WorldMask,A,B,C,"  , Rylton. He who betrays one, will betray all. Crosses to R.H. Fern. FernwoodL.C. stopping Rylton as he goes over Remember that. We are in a",
801,1868,FIC,WorldMask,A,B,C,  these passions mean? You arc presuming on a nature weakened with many griefs. Fern. Fernwood To try innocence is to set a crown upon its brow. Footnote,
814,1868,FIC,WorldMask,A,B,C,"  Teresa! I will -- Ter. Teresa Cespo Stop, Fernwood, stop! Fern. Fernwood Too late; the word is spoken. I pronounce yonder trembling wretch",
827,1868,FIC,WorldMask,A,B,C,"  Galldove Aside So! well done, Terry -- better than I hoped for. Fern. Fernwood Cr ossing to Teresa No, not before; or, if I",
839,1868,FIC,WorldMask,A,B,C,  . Fernwood How came you in his hands? Ter. Teresa Cespo I -- Fern. Fernwood Does that blush mean you love him? Ter. Teresa Cespo You,
875,1868,FIC,WorldMask,A,B,C,"  you did startle me, Mr. Fernwood. What a beautiful day we have? Fern. Fernwood Marry, now you startle me, Mr. Galldove. Do you ever",
