entry,year,genre,source,a,b,c,text,
22,1979,FIC,RainbowMan,A,B,C,  him when he tripped and fell. The boy had pounced on him like a cougar and calmly aimed a.38 at his forehead. They had stared solemnly at each,
172,1981,FIC,Mov:ContinentalDivide,A,B,C,"  was in 1975. For some reason, Reginald and Claire deserted their nest on Cougar Ridge and began building a nest here, where Wind River -- Souchak kisses her",
196,1981,FIC,HotelNewHampshire,A,B,C,"  , he was a dog, Frank, "" I said, "" not a cougar. "" Frank frowned. "" Personally, "" he said, "" I favor",
41,1982,NEWS,NYT,A,B,C,  20 Bulls; Bison Industries; The Camel (needlework); Caribou Fashions; Cougar Sports; El Coyote; Cat Cay; Dingo Boots; le Dog Spa;,
90,1982,MAG,Harpers,A,B,C,"  I turn the key, and the trusted engine beneath the hood of my 1973 Cougar roars to life. I stop for the light at the corner of 116th Street",
36,1983,NF,Golfer-At-Large,A,B,C,"  what you had read was to see him walk. His gait was like a cougar's on the scent of a doe, steady and sure, every step of",
86,1985,NEWS,WallStJrnl,A,B,C,"  ............ 1, 736 Cougar...............",
16,1986,FIC,Mov:WiseGuys,A,B,C,"  gon na do with that lion, Frankie?   FRANK THE FIXERIt's a cougar.   MOEI thought LaRosa had a lion?   FRANK THE FIXERThis cougar ate",
58,1986,FIC,Mov:WiseGuys,A,B,C,  's my best friend! They stick Moe's foot through the bars. The cougar paces and lunges. They pull his leg out just in time.   FRANK,"  is perhaps the most picturesque of any of the aquatic tribe, except the weeping willow. He who would see the alder in perfection must follow the banks of the"
80,1986,NEWS,WallStJrnl,A,B,C,"  .......... 0 0 1, 401 Cougar...............",
106,1986,FIC,Mov:WiseGuys,A,B,C,  the room. Frank pulls a tarpaulin from a huge cage. There's a cougar in it. It ROARS.   MOEWhat are you gon na do with that,
129,1986,NEWS,WallStJrnl,A,B,C,"  ...... 3, 539 2, 363 3, 853 Cougar...............",
190,1986,MAG,USNWR,A,B,C,"  heels, and devoting more ad time to women. When Ford found its sporty Cougar was popular with females, it developed an ad with a woman in track shoes",
176,1988,MAG,SportsIll,A,B,C,  focused on the seven entries in the Superboat category. Gentry was driving a 48-foot Cougar catamaran with four 850 hp turbocharged engines. At a time trial in March of,
74,1989,MAG,SportsIll,A,B,C,"  that Hancock named Gato Del Sol. Why did he decide to breed Peacefully to Cougar II? "" A complete outcross, "" he says. "" Hybrid vigor!",
92,1989,MAG,SportsIll,A,B,C,"  Year after year. "" // He began standing some unfashionable stallions, such as Cougar II, at Stone Farm, and he bought relatively inexpensive mares, such as",
49,1991,FIC,SouthernRev,A,B,C,"  night I took the flashlight with me. "" # "" If there's a cougar up here, he won't come near the camp. "" # "" I",
67,1991,FIC,SouthernRev,A,B,C,"  way it had looked at him. It was almost recognition -- as if the cougar knew him, knew all about him. # He spent the third day working",
87,1991,FIC,SouthernRev,A,B,C,"  , as if he were the husk of an insect. And he knew the cougar had come to the front porch of his cabin. # Outside it was breezy",
99,1991,FIC,SouthernRev,A,B,C,"  steps of the lodge, the mist had cloaked the far shore so that the cougar was barely visible. # "" That's not a cougar, "" Scott said",
103,1991,FIC,SouthernRev,A,B,C,  He had already made up his mind that he would not tell Scott about the cougar. And he would not tell anyone. # # By ROBERT BAUSCH #,
108,1991,FIC,SouthernRev,A,B,C,"  of its luster. He lay there for a long time, thinking about the cougar, remembering the lithe, almost soft-looking shape as it leaped up onto the stone",
110,1991,FIC,SouthernRev,A,B,C,"  the empty paper in front of him and rubbed his eye, thinking about the cougar -- about the way it moved in stealth all its life, about years of",
112,1991,FIC,SouthernRev,A,B,C,"  turning to leave, Tom said, "" By the way, I saw a cougar out there yesterday. "" # Scott laughed. "" You mean you thought you",
113,1991,FIC,SouthernRev,A,B,C,"  down, or how he got to the cot, and the episode with the cougar loomed in his memory as though it were a dream. He wasn't sure",
162,1991,FIC,SouthernRev,A,B,C,"  head high, its front legs sleek and perfectly aligned. In the distance the cougar seemed very small, and an evening mist threatened to drift in front of it",
50,1992,NEWS,SanFran,A,B,C,"  born here -- should soon do quite an effective job of putting pressure on the cougar population, first by eliminating habitat, next by eliminating food supply, last by",
94,1992,NEWS,SanFran,A,B,C,"  as the totem animal of our endeavor the Florida panther -- a small, smoke-colored cougar with outsized paws, green eyes and a kink in its tail, taking its",
109,1992,MAG,OutdoorLife,A,B,C,"  and he fired in time to drop the lion at 10 feet. Was the cougar attacking, or simply trying to get out of the cave? Only the lion",
126,1992,MAG,OutdoorLife,A,B,C,"  been famous for what he did. I was about to ask Carroll why all cougar hunters are famous, but he had already launched into a story. "" My",
143,1992,MAG,OutdoorLife,A,B,C,"  has three predator hunters protecting sheep because of the lion spillover from California, where cougar management has been replaced by protectionism. Lions require large individual territories. Except when",
191,1992,MAG,OutdoorLife,A,B,C,"  trying to train pups that aren't inclined to stay with the faint scent of cougar when hotter trails are crossed. Mountain lions are sparsely scattered, but not scarce",
65,1993,MAG,NatlParks,A,B,C,"  Park Service. # In some ranges, particularly where mule deer have expanded, cougar predation can be a serious limiting factor. In Nevada's BLM country, 66",
198,1993,FIC,NoReckingMade,A,B,C,"  She said, I'm sorry, Mr. French, I thought you were a cougar.' "" Andy saw a notice posted for a lease with option on the",
199,1993,NEWS,Houston,A,B,C,"  good on the field every time you get out there, "" said former Houston Cougar Freddie Gilbert. "" "" With the number of receivers here being so high,",
139,1995,NEWS,USAToday,A,B,C,  killed Saturday when his parachute became tangled.... REPUBLIC - A 90-pound cougar believed to have attacked three pet dogs has been killed by a homeowner. WEST,
194,1995,FIC,Ploughshares,A,B,C,"  my mother with her blond hair, her face and figure and clothes and bronze Cougar. The clothes I wore, funky little tops and poor-boy sweaters and jeans snug",
15,1996,NEWS,AP,A,B,C,"  changed version of the Ford Explorer, are already on sale as 1997s. The Cougar XR7 turns 30 with a special anniversary edition model complete with a dark red paint",
